16,0.0010138,0,0.25
1000,0.0032187,0,0.328125
16000,0.0323314,0.031,4.46875
32000,0.0639049,0.078,8.546875
64000,0.1127445,0.109,16.421875
132000,0.2696341,0.265,34.65625
